pgpid,url,iiif_urls,fragment_urls,shelfmark,multifragment,side,region,type,tags,description,scholarship_records,shelfmarks_historic,languages_primary,languages_secondary,language_note,doc_date_original,doc_date_calendar,doc_date_standard,inferred_date_display,inferred_date_standard,inferred_date_rationale,inferred_date_notes,initial_entry,last_modified,input_by,library,collection,has_transcription,has_translation,notes,needs_review,status,url_admin
476,https://geniza.princeton.edu/documents/476/,,,BL OR 5544.9,,,,Letter,"condolence, Tiberias, Women's letters","Letter from the wife of Wahb, Tiberias, to her brother Khalfa b. Ibrāhīm al-Ṭabīb b. al-Ṭabarī, Fustat, eleventh century. She dictated the letter to her son Mubārak b. Wahb, who has an excellent hand. She refers to herself in the letter as Sitt Wahb, interestingly spelled סיד והב. She sends condolences to Khalfa on account of the tragic news of Abū l-Ḥasan and Bint Abū ʿAlī (presumably they died). Her brother had inquired about economic conditions in Palestine, and she reports that bread is a raṭl for a dirham and everything is cheaper in Tiberias than in Ramla. She encourages him to join her in Tiberias but exhorts him to bring Sitt al-Dār with him, for she has no one in the world except God and him. His letters are to be addressed to Sitt Wahb in Sūq al-Yahūd. She mentions some textiles. Her sister (or possibly Mubārak's sister) Umm Bundār sends her regards. Information from Gil. ASE.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","BM Or 5544, fol. 9; BM; BM Or 5544, f. 9",Judaeo-Arabic,,,,,,,,,,1988-01-13 05:00:00+00:00,2022-01-06 00:00:38.576289+00:00,Alan Elbaum ; Catherine Beaumont ; Marina Rustow,BL,BL,Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/476/change/
487,https://geniza.princeton.edu/documents/487/,,,BL OR 5566B.31,,,,Letter,Nahray B. Nissim,"Letter from Mardūk b. Mūsā to Nahray b. Nissim. In addition to some words about the trade of clothes, Marduk asks Nahray to assist a man who is coming to Fustat soon; the man's name has been lost.","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions (Nahray‎ b. Nissim archive). ; S. D. Goitein, unpublished editions (Nahray‎ b. Nissim archive). Transcribed from S.D Goitein's typescript. ; S. D. Goitein, unpublished editions.","BM Or 5566B, fol. 31; BL OR 5566B.91; BM Or 5566B, f. 31",Judaeo-Arabic,,,,,,,,,,1988-03-09 05:00:00+00:00,2023-12-07 02:58:55.259796+00:00,Abigail Glickman ; Catherine Beaumont ; Dan Sachs ; Geniza Lab team ; Marina Rustow ; Sarah Nisenson,BL,BL,Y,N,"Notes from PGPID 9275:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing",,Public,https://geniza.princeton.edu/admin/corpus/document/487/change/
491,https://geniza.princeton.edu/documents/491/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00010-J-00016-00008,https://cudl.lib.cam.ac.uk/view/MS-TS-00010-J-00016-00008/1,T-S 10J16.8 + BL OR 5566D.24,,,a,Legal document,"India, communal, Yemen, 12th c, IB4","Copy of a court record from Aden. Dating: Summer 1131 CE. Concerning a controversy over Jewish communal leadership in Yemen. Goitein thought that this copy was made in the hand of Ḥalfon b. Netanel ha-Levi, but Friedman doubts this. It is not a direct continuation of T-S 20.37, but it concerns the same controversy. Namely, a Persian Nasi who was a cousin of the Exilarch in Baghdad had come to Aden, and the Yemeni public received him with respect and handed over to him the synagogue and religious affairs. He annulled the practice of mentioning the authority of the head of the Palestinian Yeshiva (at that time Maṣliaḥ Gaʾon, based in the Egyptian capital) in prayer and legal documents. The foreign merchants, such as Ḥalfon b. Netanel, opposed this. (Information from Goitein, The Yemenites, pp. 67–68 and Goitein and Friedman, India Book IV; Hebrew description below.) VMR. IB ח7 (ד6+ד7).","S. D. Goitein and Mordechai Akiva Friedman, Ḥalfon the Traveling Merchant Scholar : Cairo Geniza Documents‎ (in Hebrew) (2013), vol. 4. ; S. D. Goitein, The Yemenites – History, Communal Organization, Spiritual Life‎ (in Hebrew) (1983). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 10 J 16, fol. 8; TS 10 J 16, f. 8; TS 10 J 16, fol. 8; TS Box 10 J 16, f. 8 ; BM Or 5566D, f. 24; BM; BM Or 5566D, fol. 24",Judaeo-Arabic,,,,,1131,,,,,1988-04-26 04:00:00+00:00,2023-11-01 18:30:15.903748+00:00,Abigail Glickman ; Alan Elbaum ; Catherine Beaumont ; Dan Sachs ; Sarah Nisenson,CUL ; BL,"CUL, T-S ; BL",Y,N,"Notes from PGPID 6305:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing
Notes from PGPID 7893:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing",,Public,https://geniza.princeton.edu/admin/corpus/document/491/change/
493,https://geniza.princeton.edu/documents/493/,,,BL OR 5566D.30,,,,Letter,Nahray B. Nissim,"A short, but complete note to Nahray from one of his brothers-in-law, ca. 1045-1096.","A. L. Udovitch, unpublished editions. ; S. D. Goitein, index cards.","BM; BM Or 5566D, f. 30; BM Or 5566D, fol. 30",Judaeo-Arabic,,,,,,,,,,1990-01-29 05:00:00+00:00,2022-01-23 21:14:43.642469+00:00,Abigail Glickman ; Gillian Rosenberg ; Marina Rustow ; Zafrira Friedmann,BL,BL,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/493/change/
495,https://geniza.princeton.edu/documents/495/,,,BL OR 10587.2,,,,Letter,communal,"Letter of an unknown welfare official reporting to a superior. He alludes to the plight of an orphan girl (1-6). He asks the recipient to investigate the matter of the physician Makārim who has left his wife an agunah; she has been beseeching the writer to write on her behalf (6-13). The rest of the letter has to do with granular details of houses, portions of houses, rents, payments, and interest. Names mentioned include Ibn Zikri, Ibn Rabi', Abu Sharif, R. Shabbetay, and the Kohen from Rhodes. A denomination of currency (?) called אפרנתי is mentioned twice. ASE.","Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3. ; Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3. With minor emendations by Alan Elbaum (2020).","BM Or 10587, fol. 2; BM; BM Or 10587, f. 2",Judaeo-Arabic,,,,,,,,,,1989-12-20 05:00:00+00:00,2021-05-26 20:23:10.847204+00:00,Alan Elbaum ; Zafrira Friedmann,BL,BL,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/495/change/
498,https://geniza.princeton.edu/documents/498/,https://princetongenizalab.github.io/iiif/bodleian/a/ms-heb-a-2-22.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_4#MS_Heb_a_2-part22,Bodl. MS heb. a 2/22,,,,Letter,"communal, Avraham Maimonides",Letter to the Nagid Avraham Maimonides (1205-1237) concerning public affairs.,"S. D. Goitein, ""A Letter to Maimonides and New Sources regarding the Negidim of this Family‎"" (in Hebrew), Tarbiz / תרביץ‎ 34, no. 3 (1965). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","Bodl. MS Heb. a 2 (Cat. 2805), fol. 22; Bodl. MS Heb. a 2, f. 22",Judaeo-Arabic,,,,,,,,,,1987-06-09 04:00:00+00:00,2022-01-23 21:16:00.137806+00:00,Gillian Rosenberg ; Sumaiya Hamdani,Bodl.,Bodl.,Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/498/change/
499,https://geniza.princeton.edu/documents/499/,https://princetongenizalab.github.io/iiif/bodleian/a/ms-heb-a-2-9.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_4#MS_Heb_a_2-part9,Bodl. MS heb. a 2/9,,,,Legal document,"inheritance, will, silk","Will of a silk-weaver named Abū l-Faḍl b. Barakāt Ibn al-Maqdisī, dividing his house, workshop, and other belongings to his four sons. In the hand of Yosef b. Shemuel b. Seʿadya ha-Levi. Location: Fustat. Dated: Wednesday, 15 Kislev 1500 Seleucid, which is December 1188 CE, under the authority of the Gaʾon Sar Shalom ha-Levi. Signed by: Shelomo b. Nissim and Levi b. Avraham ha-Levi (may be identical with Abū Sahl Levi the cantor, father of Yedutun and Moshe b. Levi; may also be the same Levi b. Avraham who appears in T-S NS J273 in connection to a silk workshop). There is a full translation and commentary in Goitein's attached notes. ENA NS 76.435.6 + ENA NS 76.435.7 is an earlier, messier version of the same document (same scribe, same date, signed by the same witnesses).","S. D. Goitein, ""Wills and Deathbed Declarations from the Cairo Geniza‎"" (in Hebrew), Sefunot‎ 8 (1964). ; S. D. Goitein, ""Wills and Deathbed Declarations from the Cairo Geniza‎"" (in Hebrew), Sefunot‎ 8 (1964). With corrections from his personal offprint. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","Bodl. MS Heb. a 2 (Cat. 2805), fol. 9; Bodl. MS Heb. a 2, f. 9",Judaeo-Arabic,,,"Wednesday, 15 Kislev 1500",Seleucid,1188-12,,,,,1987-06-01 04:00:00+00:00,2022-06-16 05:52:13.092785+00:00,Alan Elbaum ; Jane Hathaway,Bodl.,Bodl.,Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/499/change/
509,https://geniza.princeton.edu/documents/509/,https://princetongenizalab.github.io/iiif/bodleian/b/ms-heb-b-11-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_9#MS_Heb_b_11-part1,Bodl. MS heb. b 11/1,,,,Letter,"geonim, Shelomo b. Yehuda",Letter from Shelomo b. Yehuda to Avraham Ha-Kohen b. Yiṣḥaq. Probably Ca. 1030,"Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards.","Bodl. MS Heb. b 11 (Cat. 2874), f. 1; Bodl. MS Heb. b 11, fol. 1",Judaeo-Arabic,,,,,,,,,,1988-02-15 05:00:00+00:00,2022-10-27 15:39:49.397413+00:00,Alan Elbaum ; Catherine Beaumont ; Gillian Rosenberg,Bodl.,Bodl.,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/509/change/
510,https://geniza.princeton.edu/documents/510/,https://princetongenizalab.github.io/iiif/bodleian/b/ms-heb-b-11-10.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_9#MS_Heb_b_11-part10,Bodl. MS heb. b 11/10,,,,Letter,"Qaraite, courtier","Letter from Moshe b. Yiṣḥaq the Qaraite, in Jerusalem, to Shemuel b. ʿAzarya b. Mevasser, one of the leaders of the Qaraites in Fustat, Dating: ca. 1044 CE. Reporting on the state of the barley crop (for calendrical purposes) among other matters.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards.","Bodl. MS Heb. b 11 (Cat. 2874), fol. 10; Bodl. MS Heb. b 11, f. 10",Judaeo-Arabic,,,,,,,,,,1987-12-17 05:00:00+00:00,2022-06-18 16:36:21.288140+00:00,Alan Elbaum ; Catherine Beaumont ; Gillian Rosenberg,Bodl.,Bodl.,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/510/change/
513,https://geniza.princeton.edu/documents/513/,https://princetongenizalab.github.io/iiif/bodleian/b/ms-heb-b-11-14.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_9#MS_Heb_b_11-part14,Bodl. MS heb. b 11/14,,,,Legal document,"Maimonides, Responsum","Middle fragment: Legal query addressed ""our master Moshe,"" possibly Maimonides (d. 1204). ""To have traveled widely was a title of pride. No wonder that some ambitious person tried to usurp that title without having deserved it. The Geniza contains a note addressed to Maimonides asking the some- what quaint question what to do with a man who ascended the reader's platform of a synagogue and pronounced the benediction of thanksgiving for safe return from travel by sea, but had not traveled at all. The master's answer to this query, if given at all, has not been preserved."" (Goitein, Med Soc I, p. 352.)","S. D. Goitein, ""A New Autograph by Maimonides and a Letter to him from his Sister Miriam‎"" (in Hebrew), Tarbiz / תרביץ‎ 32, no. 2 (1963). ; S. D. Goitein, index cards.","Bodl. MS Heb. b 11 (Cat. 2874), fol. 14; Bodl. MS Heb. b 11, f. 14",Judaeo-Arabic,,,,,,,,,,1990-06-06 04:00:00+00:00,2023-02-04 21:54:14.576908+00:00,Alan Elbaum ; Nurit Tsafrir,Bodl.,Bodl.,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/513/change/
516,https://geniza.princeton.edu/documents/516/,https://princetongenizalab.github.io/iiif/bodleian/b/ms-heb-b-11-3.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_9#MS_Heb_b_11-part3,Bodl. MS heb. b 11/3,,,,Legal document,"dowry, Marriage","Legal agreement on dowry rights. Dated: First decade of Ḥeshvan 1442 Seleucid, which is 1130 CE. Betweeen Sitt al-Kull bt. Berakhot known as Naṭīra and her husband the poet (ha-meshorer) Ṣedaqa b. Ṣemaḥ. He grants her all her dowry; she releases him from responsibility. He is also warned that he would have to give her the delayed marriage payment if he should ever take a second wife. Signed by Ḥalfon b. Ghālib the cantor and Natan b. Yefet. (Information from Goitein's index card.)","Mordechai Akiva Friedman, Jewish Polygyny‎ (in Hebrew) (1986). ; S. D. Goitein, index cards.","Bodl. MS Heb. b 11 (Cat. 2874), fol. 3; Bodl. MS Heb. b 11, f. 3",Judaeo-Arabic,,,First decade of Ḥeshvan 1442,Seleucid,1130,,,,,1988-03-01 05:00:00+00:00,2022-06-18 22:09:13.497307+00:00,Alan Elbaum ; Nomi Heger ; Rachel Richman,Bodl.,Bodl.,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/516/change/
519,https://geniza.princeton.edu/documents/519/,https://princetongenizalab.github.io/iiif/bodleian/b/ms-heb-b-11-7.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_9#MS_Heb_b_11-part7,Bodl. MS heb. b 11/7,,recto,,Letter,"epidemic, illness: marad, illness letter 969-1517, Seljuks, epidemic: a'lal, illness: foreigner, illness: chronic, merchant, siege of Alexandria, epidemic: waba', epidemic: amrad, epidemic: dever, Illness, Crusades","Letter from an older Maghribī traveler, in Alexandria, to his cousin, somewhere in the Maghrib. In Judaeo-Arabic. Dating: ca. 1100 CE. Evidently this letter was never sent. The writer has spent the last five years in Egypt attempting to make a pilgrimage to Jerusalem. He describes the various disasters of the years 1095–1100 to justify both why he has failed to reach Jerusalem and why too he has remained in Egypt instead of returning to his family and waṭan. First, he describes the chaos in Palestine under the Seljuq occupation (""many armed bands made their appearance in Palestine""). He next describes the 1095 siege of Alexandria in which the vizier al-Afḍal deposed Nizār and secured the caliphate for al-Mustaʿlī (""the city was ruined. . . the Sultan conquered the city and caused justice to abound""). He again prepared for travel ""when God conquered Jerusalem at his [the caliph's] hands,"" i.e., in 1098, only to be foiled by the appearance of the Franks, who ""killed everyone in the city, whether Jew or Muslim."" The writer is confident that the Fatimids will retake Jerusalem this very year, so he intends to remain in Egypt until he sees Jerusalem or gives up all hope. The letter ends with the writer's protracted illnesses. Throughout these years, the land has been filled with epidemic diseases (wabā', aʿlāl, amrāḍ, dever). The wealthy became impoverished, ""most people died,"" entire families were destroyed. The writer himself developed a grave illness (maraḍ ṣaʿb), which lasted one year, and was shortly followed by another grave illness, which has lasted four years and perhaps continues to the present day. ""Indeed [true is] what the Scripture has said of the dreadful disease of Egypt (Deut. 7:15). . . . He who hiccups (yastanshiq) will not escape from it. . . . ailments and will die from them. . . . Otherwise, he will remain alive."" Note that ""yastanshiq"" typically means ""inhale"" or ""snuff"" (e.g., water for ritual ablutions) rather than ""hiccup."" Information largely from Goitein's attached translation and notes, and Goldman, ""Arabic-Speaking Jews in Crusader Syria"" (diss.), pp. 38–42, where there is a thorough analysis of the letter's context and a discussion of the writer's penchant for hyperbole.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 3. ; S. D. Goitein, Mediterranean People. ; S. D. Goitein, unpublished editions.","Bodl. MS Heb. b 11 (Cat. 2874), fol. 7; Bodl. MS Heb. b 11, f. 7",Judaeo-Arabic,,,,,,,,,,1987-10-02 04:00:00+00:00,2022-03-11 19:49:37.557552+00:00,Alan Elbaum ; Marina Rustow ; Nomi Heger,Bodl.,Bodl.,Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/519/change/
